"","X","code","sdate","gear","zone15e","zone15n","temp","do","vegd","stratum","richness","shannon","year"
"39","BKCP18",-1200346,"08/21/1990","F",638964,4857330,20.8,NA,NA,"BWC-S",11,1.75167160566154,1990
"40","BKCP19",-1200337,"08/15/1990","F",639484,4851044,25,NA,NA,"MCB-W",6,1.03767579273153,1990
"41","BKCP20",-1200336,"08/15/1990","F",639600,4851312,25,NA,NA,"MCB-W",6,1.16516295257246,1990
"42","BKCP21",-1200323,"08/13/1990","F",642889,4845173,25.3,NA,1,"BWC-S",16,1.85100702541974,1990
"43","BKCP22",-1200322,"08/13/1990","F",643248,4845192,25.3,NA,NA,"BWC-S",14,1.84482335947907,1990
"44","BKCP23",-1200116,"09/27/1989","F",638989,4856569,14.2,NA,NA,"BWC-S",2,0.494632328132759,1989
"45","BKCP24",-1200115,"09/27/1989","F",638883,4856777,13.9,NA,NA,"BWC-S",2,0.429323021930616,1989
"46","BCWC",-1200023,"08/14/1989","F",638711,4850385,25.1,NA,NA,"BWC-S",13,1.59516778302757,1989
"47","BKCP26",-1200022,"08/14/1989","F",638711,4850385,24.2,NA,NA,"BWC-S",14,1.93935429477066,1989
"48","BKCP27",-1200001,"08/02/1989","F",642520,4826603,28.5,NA,NA,"IMP-S",8,1.704415352185,1989
"49","BKCP28",-1200547,"11/01/1990","F",636153,4858538,9.8,NA,NA,"TWZ",10,2.27186851269656,1990
"50","BKCP29",-1200546,"11/01/1990","F",636284,4858411,9.8,NA,NA,"TWZ",11,2.36938211969468,1990
"51","BKCP30",-1200545,"11/01/1990","F",636211,4857778,9.8,NA,NA,"TWZ",8,2.07944154167984,1990
"52","BKCP31",-1200544,"11/01/1990","F",635973,4857966,9.8,NA,NA,"TWZ",8,2.07944154167984,1990
"53","BKCP32",-1200225,"06/27/1990","F",642520,4826603,26.7,NA,NA,"IMP-S",8,1.64734362041319,1990
"54","BKCP33",-1200224,"06/27/1990","F",642520,4826603,26.7,NA,NA,"IMP-S",13,2.17127653267399,1990
"55","BKCP34",-1200033,"08/16/1989","F",639012,4856983,25.3,NA,NA,"BWC-S",16,1.85662709718059,1989
"56","BKCP35",-1200015,"08/09/1989","F",639230,4842157,24,NA,NA,"BWC-S",14,1.74287906891306,1989
"57","BKCP36",-1200014,"08/09/1989","F",639230,4842157,23,NA,NA,"BWC-S",12,1.57774944387392,1989
"58","1",-1200535,"10/29/1990","F",636211,4857778,8.9,NA,NA,"TWZ",1,0,1990
"59","WLYE27",-1200534,"10/29/1990","F",635973,4857966,8.9,NA,NA,"TWZ",1,0,1990
"60","BKCP37",-1200533,"10/29/1990","F",636403,4858266,8.9,NA,NA,"TWZ",6,1.79175946922805,1990
"61","BKCP38",-1200532,"10/29/1990","F",636284,4858411,8.9,NA,NA,"TWZ",4,1.38629436111989,1990
"62","BKCP39",-1200016,"08/09/1989","F",639028,4837258,25,NA,NA,"BWC-S",12,1.94092871144101,1989
"63","BKCP40",-1201156,"08/13/1992","F",642653,4826111,20,NA,1,"IMP-S",10,1.47558265593151,1992
"64","BKCP41",-1201154,"08/13/1992","F",642653,4826111,20,NA,1,"IMP-S",8,1.75093270429918,1992
"65","BKCP42",-1200126,"10/02/1989","F",636921,4857744,16,NA,NA,"BWC-S",2,0.0815104109503315,1989
"66","BKCP43",-1200125,"10/02/1989","F",636921,4857744,16.1,NA,NA,"BWC-S",1,0,1989
"67","BKCP44",-1200124,"10/02/1989","F",636921,4857744,16,NA,NA,"BWC-S",1,0,1989
"68","BKCP45",-1200026,"08/14/1989","F",636921,4857744,25.1,NA,NA,"BWC-S",10,1.27388361558614,1989
"69","BLGL30",-1200005,"08/02/1989","F",642491,4826961,28,NA,NA,"IMP-S",10,1.89387054375493,1989
"70","BKCP46",-1200003,"08/02/1989","F",642327,4827161,27.4,NA,NA,"IMP-S",13,1.76149118314127,1989
"71","BKCP47",-1201286,"10/05/1992","F",642889,4845173,16,NA,NA,"BWC-S",11,1.6172467082987,1992
"72","BKCP48",-1201276,"10/05/1992","F",639228,4841976,16.7,NA,2,"BWC-S",10,1.0334176700582,1992
"73","BKCP49",-1201184,"08/20/1992","F",636921,4857744,22,NA,NA,"BWC-S",11,1.43512216414623,1992
"74","BKCP50",-1201182,"08/20/1992","F",639012,4856983,22,NA,1,"BWC-S",20,2.21354599249921,1992
"75","BKCP51",-1201287,"10/05/1992","F",642889,4845173,16,NA,NA,"BWC-S",12,2.0997229640681,1992
"76","BKCP52",-1201185,"08/20/1992","F",636921,4857744,22,NA,NA,"BWC-S",14,1.44871893446094,1992
"77","BKCP53",-1201137,"08/04/1992","F",642889,4845173,24,NA,2,"BWC-S",12,1.30247624264694,1992
"78","BKCP54",-1201136,"08/04/1992","F",642889,4845173,24,NA,1,"BWC-S",5,1.00004732622131,1992
"79","BKCP55",-1200930,"10/22/1991","F",638929,4857244,10.2,NA,NA,"BWC-S",15,1.81919347007769,1991
"80","BKCP56",-1200928,"10/22/1991","F",638929,4857244,10.2,NA,NA,"BWC-S",9,1.86570894077564,1991
"81","BLGL42",-1200927,"10/22/1991","F",639921,4857744,9.8,NA,NA,"BWC-S",4,0.776081022020446,1991
"82","BKCP57",-1200926,"10/22/1991","F",639921,4857744,9.8,NA,NA,"BWC-S",4,0.734831928480784,1991
"83","BKCP58",-1200867,"09/25/1991","F",639228,4841976,11.5,NA,NA,"BWC-S",20,2.19421855329901,1991
"84","BKCP59",-1200813,"09/09/1991","F",638929,4857244,22.3,NA,NA,"BWC-S",13,1.7443245815048,1991
"85","BKCP60",-1200869,"09/25/1991","F",642889,4845173,13,NA,NA,"BWC-S",6,1.38110698918738,1991
"86","BKCP61",-1200868,"09/25/1991","F",642889,4845173,13,NA,NA,"BWC-S",3,1.03972077083992,1991
"87","BKCP62",-1200815,"09/09/1991","F",638929,4857244,22.3,NA,NA,"BWC-S",10,1.44219077759363,1991
"88","BKCP63",-1200309,"08/07/1990","F",639228,4841976,23.4,NA,NA,"BWC-S",14,2.0980588862185,1990
"89","BKCP64",-1200308,"08/07/1990","F",639240,4842125,23.4,NA,NA,"BWC-S",12,1.87756239160919,1990
"90","BKCP65",-1200297,"08/01/1990","F",642520,4826603,24.5,NA,NA,"IMP-S",12,2.03344316583339,1990
"91","BKCP66",-1200272,"07/24/1990","F",641019,4848363,25.6,NA,NA,"MCB-W",5,1.16486757677111,1990
"92","BKCP67",-1200268,"07/24/1990","F",639600,4851312,25.7,NA,NA,"MCB-W",16,2.18507112611091,1990
"93","BKCP68",-1200266,"07/24/1990","F",639484,4851044,25.7,NA,NA,"MCB-W",7,1.03336323809523,1990
"94","BKCP69",-1200988,"06/18/1992","F",639228,4841976,21,NA,2,"BWC-S",10,2.01171093785068,1992
"95","BKCP70",-1200986,"06/18/1992","F",639228,4841976,21,NA,2,"BWC-S",11,1.98118734189678,1992
"96","BKBH2",-1200942,"10/24/1991","F",641019,4848363,11.6,NA,NA,"MCB-W",4,1.33217904021012,1991
"97","BLGL57",-1200940,"10/24/1991","F",641019,4848363,11.6,NA,NA,"MCB-W",6,1.6094379124341,1991
"98","BLGL58",-1200938,"10/24/1991","F",639484,4851044,11.8,NA,NA,"MCB-W",4,1.27703425946614,1991
"99","BLGL59",-1200936,"10/24/1991","F",639484,4851044,11.8,NA,NA,"MCB-W",7,1.721402322014,1991
"100","BLGL60",-1200824,"09/11/1991","F",641019,4848363,21.5,NA,NA,"MCB-W",6,1.66094743328692,1991
"101","BKCP71",-1200822,"09/11/1991","F",641019,4848363,21.5,NA,NA,"MCB-W",6,1.41051355711484,1991
"102","BKCP72",-1201077,"07/13/1992","F",639012,4856983,22,NA,NA,"BWC-S",8,1.05825215731149,1992
"103","BLGL63",-1200959,"10/31/1991","F",635973,4857966,6.8,NA,NA,"TWZ",3,0.576382066624893,1991
"104","BKCP73",-1200958,"10/31/1991","F",635973,4857966,6.8,NA,NA,"TWZ",4,1.17850528217538,1991
"105","BKCP74",-1201131,"07/29/1992","F",639228,4841976,21,NA,2,"BWC-S",8,1.31377173097297,1992
"106","BKCP75",-1200743,"08/15/1991","F",639228,4841976,24.6,NA,NA,"BWC-S",15,1.97782400021649,1991
"107","BKCP76",-1200742,"08/15/1991","F",639228,4841976,24.6,NA,NA,"BWC-S",8,1.5274028839137,1991
"108","BKCP77",-1200621,"07/11/1991","F",640824,4844204,25,NA,NA,"MCB-W",5,1.5498260458782,1991
"109","BKCP78",12000298,"08/30/1993","F",642308,4845458,24.3,NA,2,"BWC-S",8,1.29984415872659,1993
"110","BKCP79",12000299,"08/30/1993","F",642411,4845257,24,NA,2,"BWC-S",7,1.45596364082808,1993
"111","BKCP80",12000301,"08/30/1993","F",641787,4843515,24.2,NA,1,"BWC-S",10,2.18189805415413,1993
"112","BHMW",-1200746,"08/15/1991","F",640824,4844204,25,NA,NA,"MCB-W",11,1.84542923392693,1991
"113","BLGL72",-1200744,"08/15/1991","F",640824,4844204,25,NA,NA,"MCB-W",5,1.36903917770477,1991
"114","BKCP82",-1200627,"07/11/1991","F",642889,4845173,26,NA,NA,"BWC-S",2,0.500402423538188,1991
"115","BKCP83",-1200626,"07/11/1991","F",642889,4845173,26,NA,NA,"BWC-S",6,1.58325845942048,1991
"116","CNCF8",-1200625,"07/11/1991","F",640824,4844204,25,NA,NA,"MCB-W",2,0.636514168294813,1991
"117","BKCP84",12000017,"06/17/1993","F",644110,4842052,23.4,NA,2,"BWC-S",18,1.86516564714486,1993
"118","BKCP85",12000290,"08/26/1993","F",640605,4839362,27.3,NA,1,"BWC-S",9,1.89170961254983,1993
"119","BKCP86",12000291,"08/26/1993","F",640155,4839712,28.1,NA,2,"BWC-S",11,1.96819599903043,1993
"120","BKCP87",-1200249,"07/16/1990","F",638929,4857244,NA,NA,1,"BWC-S",14,1.94321551058934,1990
"121","BKCP88",-1200248,"07/16/1990","F",638964,4857330,NA,NA,NA,"BWC-S",10,1.4798229489338,1990
"122","BKCP89",-1200247,"07/16/1990","F",636921,4857744,NA,NA,NA,"BWC-S",15,1.88040015994576,1990
"123","BKCP90",-1200246,"07/16/1990","F",637099,4857753,NA,NA,NA,"BWC-S",15,1.69355815231589,1990
"124","BKCP91",-1200229,"07/02/1990","F",639228,4841976,26.6,NA,2,"BWC-S",14,2.00816106401062,1990
"125","BKCP92",-1200228,"07/02/1990","F",639240,4842125,26.3,NA,NA,"BWC-S",18,1.92843651624156,1990
"126","BKCP93",-1200227,"06/27/1990","F",642889,4845173,26.4,NA,NA,"BWC-S",3,0.491161803613594,1990
"127","BKCP94",-1200226,"06/27/1990","F",643248,4845192,26.4,NA,NA,"BWC-S",10,1.93113265090577,1990
"128","BLGL85",-1200820,"09/11/1991","F",639484,4851044,21.7,NA,NA,"MCB-W",3,0.867563228481461,1991
"129","11",-1200818,"09/11/1991","F",639484,4851044,21.7,NA,NA,"MCB-W",1,0,1991
"130","BKCP95",-1200817,"09/09/1991","F",639921,4857744,23,NA,NA,"BWC-S",5,0.991533053816962,1991
"131","BKCP96",-1200693,"07/31/1991","F",641019,4848363,24,NA,NA,"MCB-W",3,0.683738905848754,1991
"132","BKCP97",12000005,"06/15/1993","F",641200,4845012,20.8,NA,1,"BWC-S",13,1.98558014786164,1993
"133","SNGR38",12000006,"06/15/1993","F",641826,4840917,19.2,NA,1,"BWC-S",1,0,1993
"134","BKCP98",12000007,"06/15/1993","F",640985,4840415,20.6,NA,2,"BWC-S",6,1.35879716527295,1993
"135","BKCP99",12000280,"08/25/1993","F",643656,4839862,26.1,NA,2,"IMP-S",11,1.84331148489609,1993
"136","BKCP100",-1200669,"07/24/1991","F",639921,4857744,27,NA,NA,"BWC-S",8,1.48785334928037,1991
"137","BKCP101",-1200668,"07/24/1991","F",639921,4857744,27,NA,NA,"BWC-S",10,1.42066231698577,1991
"138","BKCP102",12000045,"06/21/1993","F",640305,4839512,22.2,NA,2,"BWC-S",11,1.49884383879862,1993
"139","BKCP103",-1200670,"07/24/1991","F",635973,4857966,25,NA,NA,"TWZ",13,2.13980034526676,1991
"140","BKCP104",12000313,"09/02/1993","F",639855,4829162,20.1,NA,NA,"IMP-S",5,1.37605528526042,1993
"141","BKCP105",12000323,"09/02/1993","F",639396,4832131,22.9,NA,NA,"IMP-S",3,1.09861228866811,1993
"142","BKCP106",-1200652,"07/22/1991","F",638929,4857244,26.5,NA,NA,"BWC-S",13,1.82748169329625,1991
"143","CARP62",12000202,"08/04/1993","F",640205,4840462,22.7,NA,1,"BWC-S",1,0,1993
"144","SNGR42",12000205,"08/03/1993","F",640425,4835789,22.8,NA,NA,"BWC-S",1,0,1993
"145","BKCP107",12000210,"08/05/1993","F",643122,4842451,20,NA,2,"BWC-S",3,0.677908725644198,1993
"146","BKCP108",12000212,"08/05/1993","F",641294,4842210,22,NA,2,"BWC-S",7,1.58190487039598,1993
"147","BKCP109",12000213,"08/05/1993","F",641111,4840782,21.9,NA,2,"BWC-S",7,1.66295046658821,1993
"148","BKCP110",-1200864,"09/25/1991","F",639228,4841976,11.5,NA,NA,"BWC-S",17,2.15515231070146,1991
"149","BKCP111",12000302,"08/30/1993","F",641190,4843214,24.2,NA,2,"BWC-S",10,1.41686348627272,1993
"150","BKCP112",12000503,"09/30/1993","F",636955,4857912,13,NA,NA,"BWC-S",7,1.36804337864615,1993
"151","BKCP113",12000504,"09/30/1993","F",636921,4857744,13,NA,NA,"BWC-S",6,1.33267916743901,1993
"152","BKCP114",12000722,"07/12/1994","F",643255,4842712,26,NA,2,"BWC-S",6,1.49529420487263,1994
"153","BKCP115",12000831,"08/03/1994","F",641455,4841662,25,NA,NA,"BWC-S",7,1.25524061953932,1994
"154","BKCP116",12000396,"09/14/1993","F",636921,4857744,19.5,NA,NA,"BWC-S",5,1.40127664864337,1993
"155","BKCP117",12000397,"09/14/1993","F",636921,4857744,19.5,NA,NA,"BWC-S",5,1.28992198260901,1993
"156","BKCP118",12000718,"07/07/1994","F",638355,4857112,29.7,NA,1,"BWC-S",9,1.37948510466023,1994
"157","BKCP119",12000719,"07/12/1994","F",644705,4843162,25.6,NA,2,"BWC-S",9,1.59886087610125,1994
"158","BLGL105",-1201265,"10/01/1992","F",642653,4826111,15.5,NA,NA,"IMP-S",5,0.762238440907423,1992
"159","CARP70",-1201262,"10/01/1992","F",642653,4826111,15.5,NA,NA,"IMP-S",2,0.325082973391448,1992
"160","BKCP120",12000394,"09/14/1993","F",642889,4845173,19.5,NA,NA,"BWC-S",6,1.63475892444401,1993
"161","BKCP121",12000395,"09/14/1993","F",642889,4845173,19.5,NA,NA,"BWC-S",6,0.791606393796991,1993
"162","BKCP122",12000489,"09/28/1993","F",642653,4844935,15,NA,2,"BWC-S",8,0.868474769892172,1993
"163","BKCP123",12000814,"08/02/1994","F",643105,4842212,27,NA,1,"BWC-S",13,1.99413078489104,1994
"164","BKCP124",12000816,"08/02/1994","F",643605,4844112,26,NA,1,"BWC-S",10,1.43719959833516,1994
"165","BKCP125",12000543,"10/07/1993","F",642889,4845173,16,NA,NA,"BWC-S",4,1.0014223119682,1993
"166","BKCP126",12000865,"08/15/1994","F",642889,4845173,23.4,NA,1,"BWC-S",11,1.81892885853011,1994
"167","BKCP127",12000869,"08/17/1994","F",639605,4831562,23.8,NA,NA,"IMP-S",8,1.86271040816714,1994
"168","BKCP128",12000874,"08/15/1994","F",643355,4844762,24,NA,1,"BWC-S",9,1.8082595276793,1994
"169","BNTT",12000521,"10/05/1993","F",643460,4832692,10.1,NA,NA,"IMP-S",10,2.01598247884172,1993
"170","CARP74",12000525,"10/05/1993","F",643505,4833012,10.2,NA,NA,"IMP-S",7,1.04138000510499,1993
"171","CARP75",12000527,"10/05/1993","F",642955,4833662,10.5,NA,NA,"IMP-S",2,0.693147180559945,1993
"172","BKCP129",12000862,"08/15/1994","F",643455,4845712,22.3,NA,1,"BWC-S",8,1.7512603748323,1994
"173","BKCP130",12000863,"08/15/1994","F",643005,4846212,22.7,NA,2,"BWC-S",6,1.47500805545602,1994
"174","BKCP131",12000864,"08/15/1994","F",642889,4845173,23.4,NA,2,"BWC-S",10,1.2248331571147,1994
"175","BKCP132",12000470,"09/23/1993","F",640855,4839562,18,NA,2,"BWC-S",9,1.37965335876077,1993
"176","BKCP133",12000472,"09/23/1993","F",638955,4837862,15,NA,1,"BWC-S",8,1.00399051786791,1993
"177","BKCP134",12000474,"09/23/1993","F",640005,4838162,17,NA,NA,"BWC-S",1,0,1993
"178","AMEL",12000653,"06/20/1994","F",639255,4841462,28.4,NA,NA,"BWC-S",10,1.15299681195814,1994
"179","FHCF16",12000658,"06/22/1994","F",643455,4833412,28.7,NA,1,"IMP-S",6,1.47350238508065,1994
"180","BWFN53",12000802,"07/27/1994","F",643205,4846862,22,NA,2,"BWC-S",5,1.20943268140584,1994
"181","BKCP136",12000804,"07/27/1994","F",641505,4842862,24,NA,2,"BWC-S",5,1.25831789550233,1994
"182","BKCP137",12000805,"07/27/1994","F",641455,4841762,24,NA,1,"BWC-S",8,1.60318516824026,1994
"183","BKCP138",-1200735,"08/12/1991","F",642889,4845173,24,NA,NA,"BWC-S",8,1.58356828829186,1991
"184","BKCP139",-1200734,"08/12/1991","F",642889,4845173,24,NA,NA,"BWC-S",8,1.57696215695014,1991
"185","BKCP140",-1200673,"07/24/1991","F",635973,4857966,25,NA,NA,"TWZ",16,2.19817608440856,1991
"186","BKCP141",-1200655,"07/22/1991","F",638929,4857244,26.5,NA,NA,"BWC-S",12,1.99708264932737,1991
"187","BKCP142",-1200590,"07/01/1991","F",642520,4826603,27,NA,NA,"IMP-S",7,1.83158871894629,1991
"188","BKCP143",12000095,"07/13/1993","F",639855,4836212,20.8,NA,2,"BWC-S",9,0.965357183963504,1993
"189","BKCP144",12000945,"08/24/1994","F",641555,4846862,22.9,NA,NA,"BWC-S",8,1.65722043057959,1994
"190","BKCP145",12000946,"08/25/1994","F",641905,4849312,24.2,NA,1,"BWC-S",10,1.29465329549101,1994
"191","BKCP146",12001060,"10/06/1994","F",636921,4857744,15,NA,NA,"BWC-S",11,1.56471685188128,1994
"192","BKBH3",12001061,"10/06/1994","F",638755,4856462,14.2,NA,1,"BWC-S",11,2.14846636489298,1994
"193","BKCP148",12001062,"10/06/1994","F",638755,4856912,14.5,NA,NA,"BWC-S",8,1.47392324739031,1994
"194","BKCP149",12000938,"08/24/1994","F",640755,4848112,24.9,NA,1,"BWC-S",5,1.08776129306878,1994
"195","BKCP150",12001129,"10/19/1994","F",644055,4845062,15,NA,2,"BWC-S",6,1.4664465235842,1994
"196","12",12001132,"10/19/1994","F",640255,4838262,15,NA,NA,"BWC-S",1,0,1994
"197","BKCP151",12001260,"06/28/1995","F",640355,4847512,25,NA,1,"BWC-S",11,2.16473884271805,1995
"198","BKCP152",-1200816,"09/09/1991","F",639921,4857744,23,NA,NA,"BWC-S",7,1.50893665837241,1991
"199","BKCP153",-1200690,"07/31/1991","F",641019,4848363,24,NA,NA,"MCB-W",5,1.18130373821052,1991
"200","BKCP154",-1200689,"07/31/1991","F",639484,4851044,22.7,NA,NA,"MCB-W",5,0.750968778249343,1991
"201","FWDM65",12001009,"09/20/1994","F",639605,4851662,21,NA,NA,"BWC-S",2,0.693147180559945,1994
"202","BKCP155",12001125,"10/19/1994","F",641205,4845662,15,NA,NA,"BWC-S",3,0.823719731511831,1994
"203","BKCP156",12001126,"10/19/1994","F",642889,4845173,14,NA,NA,"BWC-S",7,1.26320805543275,1994
"204","BKCP157",12001237,"06/26/1995","F",637955,4857962,28.2,NA,2,"BWC-S",5,1.08028380804063,1995
"205","BKCP158",12001238,"06/26/1995","F",638555,4856662,28.1,NA,1,"BWC-S",10,1.68273857556635,1995
"206","BKCP159",12001103,"10/12/1994","F",642905,4834212,12,NA,NA,"IMP-S",9,1.72600968018664,1994
"207","BKCP160",12001232,"06/26/1995","F",636921,4857744,27.3,NA,NA,"BWC-S",17,1.74567989444118,1995
"208","BKCP161",12001235,"06/26/1995","F",637705,4858012,29.3,NA,1,"BWC-S",8,1.39235700207374,1995
"209","BKCP162",12001285,"07/06/1995","F",641805,4843162,20.3,NA,2,"BWC-S",8,1.74260261575395,1995
"210","BKCP163",12001287,"07/06/1995","F",641955,4841962,19.4,NA,1,"BWC-S",5,1.29636115979106,1995
"211","BKCP164",12001093,"10/11/1994","F",643405,4829762,13.4,NA,NA,"IMP-S",6,1.45490760665828,1994
"212","BKCP165",12001277,"07/05/1995","F",643155,4843562,23.7,NA,1,"BWC-S",10,1.77545892674599,1995
"213","BKCP166",12001280,"07/05/1995","F",642005,4845812,23.4,NA,1,"BWC-S",14,1.87540877642574,1995
"214","BKCP167",12001281,"07/05/1995","F",641955,4845762,23.4,NA,1,"BWC-S",5,1.20617062241272,1995
"215","BKCP168",12001375,"07/26/1995","F",642905,4834262,27.6,NA,NA,"IMP-S",9,1.65354852510996,1995
"216","BKCP169",12001377,"07/26/1995","F",642905,4833712,27.4,NA,NA,"IMP-S",11,2.08459544915771,1995
"217","BKCP170",12000991,"09/14/1994","F",636921,4857744,22.9,NA,NA,"BWC-S",12,1.21708932339151,1994
"218","BKCP171",12000992,"09/14/1994","F",636921,4857744,22.9,NA,NA,"BWC-S",5,0.848066026145116,1994
"219","BKCP172",12001120,"10/18/1994","F",639355,4842512,10.5,NA,1,"BWC-S",13,1.66773246874522,1994
"220","BKCP173",12001231,"06/26/1995","F",636921,4857744,27.3,NA,NA,"BWC-S",10,1.24233549760232,1995
"221","BKCP174",12001416,"08/03/1995","F",641205,4843212,26.7,NA,1,"BWC-S",13,2.12218781891932,1995
"222","BKCP175",12000303,"08/30/1993","F",641455,4845662,24.4,NA,1,"BWC-S",17,1.27705609715077,1993
"223","BKCP176",12000466,"09/23/1993","F",641105,4845262,15.5,NA,1,"BWC-S",10,1.16984202653549,1993
"224","BKCP177",12001571,"09/18/1995","F",640755,4841812,19.8,NA,2,"BWC-S",15,2.08907523899341,1995
"225","BKCP178",12001575,"09/19/1995","F",640155,4840362,18.3,NA,2,"BWC-S",7,1.863679987341,1995
"226","BKCP179",12001358,"07/20/1995","F",639605,4830462,25.3,NA,1,"IMP-S",5,0.850770630294081,1995
"227","BKCP180",12001566,"09/18/1995","F",642155,4841812,19.1,NA,1,"BWC-S",11,1.67343698611723,1995
"228","BKCP181",12000012,"06/16/1993","F",642286,4848112,19.4,NA,NA,"BWC-S",3,0.830471712436292,1993
"229","BKCP182",12000016,"06/16/1993","F",641108,4839255,20.7,NA,2,"BWC-S",9,2.04259210417559,1993
"230","BWFN76",12000286,"08/26/1993","F",642655,4837062,27.1,NA,1,"IMP-S",7,1.67311836264325,1993
"231","BLGL160",12001490,"08/22/1995","F",643405,4829762,26,NA,NA,"IMP-S",3,0.808269958000182,1995
"232","BKCP183",12001495,"08/23/1995","F",643405,4838212,25.1,NA,NA,"IMP-S",7,1.27158859007747,1995
"233","BKCP184",12001504,"08/24/1995","F",640255,4838712,25.5,NA,2,"BWC-S",5,1.56071040904141,1995
"234","BKCP185",12001505,"08/24/1995","F",639905,4838162,25.1,NA,2,"BWC-S",14,2.39532797822511,1995
"235","BKCP186",12001679,"10/10/1995","F",639255,4842562,12.5,NA,1,"BWC-S",14,2.00763898351851,1995
